ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,
127,請求書,せいきゅうしょ,बिल,विलम्ब ,विलय ,बिल,बिल,電話料金の請求書が届いた。,मैले फोनको बिल प्राप्त गरें।,ネパール語,N3
128,領収書,りょうしゅうしょ,रसिद,रसिद,राजस्व ,राजदुत ,रसिद,買い物をするときは、領収書をもらう。,"किनमेल गर्दा, रसिद प्राप्त गर्नुहोस्।",ネパール語,N3
129,売り切れ,うりきれ,बिक्री भएको,बिक्क ,बिक्री भएको,बिल,बिक्री भएको,欲しかったバッグは、売り切れだった。,मैले चाहेको झोला बिक्यो ।,ネパール語,N3
130,出入り口,でいりぐち,ढोका,ढोरपाटन ,ढोका,दोक ,ढोका,博物館（(はくぶつかん）の出入り口に、ポスターがはってある。,संग्रहालयको प्रवेशद्वारमा पोस्टर टाँसिएको छ।,ネパール語,N3
131,自動ドア,じどうどあ,स्वचालित ढोका,स्याहार ,सिन्डिकेट ,स्वचालित ढोका,स्वचालित ढोका,出入り口に、大きな自動ドアがある。,प्रवेशद्वारमा ठूलो स्वचालित ढोका छ।,ネパール語,N3
132,入館料,にゅうかんりょう,भर्ना शुल्क,भर्ना शुल्क,सुवास ,सुब्बा ,भर्ना शुल्क,入館料は400円です。,प्रवेश शुल्क 400 येन छ।,ネパール語,N3
133,混雑（する）,こんざつ,भीडभाड,भगिनी ,भीडभाड,भ्यान ,भीडभाड,週末は、どこも混雑している。,"सप्ताहन्तमा, जताततै भीड छ।",ネパール語,N3
134,行列,ぎょうれつ,लाईन,लागत ,लैजाँदै ,लाईन,लाईन,人気の店の前に、長い行列ができている。,लोकप्रिय पसलहरू अगाडि लामो लाइनहरू बनाउँछन्।,ネパール語,N3
135,貸し出し,かしだし,उधारो,उधारो,उर्वर ,उडान ,उधारो,図書館の本の貸し出しは、一回5冊までです。,तपाईं पुस्तकालयबाट एक पटकमा 5 पुस्तकहरू उधारो गर्न सक्नुहुन्छ।,ネパール語,N3
136,返却（する）,へんきゃく,फिर्ता गर्नु,फिर्ता गर्नु,फर्निचर ,फेसबुक ,फिर्ता गर्नु,この本は、2週間以内に返却してくだい。,कृपया यो पुस्तक दुई हप्ता भित्र फिर्ता गर्नुहोस्।,ネパール語,N3
137,名札,なふだ,नाम चिन्ह,नामाकरण ,नाम चिन्ह,नआउँदा ,नाम चिन्ह,中学までは、学校で名札をつけていた。,"माध्यमिक विद्यालय सम्म, मैले स्कूलमा नामको ट्याग लगाएको थिएँ।",ネパール語,N3
138,給食,きゅうしょく,खाजा समय,सामाग्री ,साक्षर ,खाजा समय,खाजा समय,子どもの頃、給食がとても楽しみだった。,"जब म सानो थिएँ, म साँच्चै स्कूलको खाजाको लागि उत्सुक थिए।",ネパール語,N3
139,体育,たいいく,शारीरिक शिक्षा,सिद्ध ,शारीरिक शिक्षा,सिद्धान्त ,शारीरिक शिक्षा,勉強はできなかったが、体育は得意だった。,पढाउन नसके पनि शारीरिक शिक्षामा अब्बल थिए ।,ネパール語,N3
140,品物,しなもの,सामान,शुभ रात्री,सामान,राम्रो,सामान,"駅前のデパートは,高い品物が多い.",स्टेशन अगाडि डिपार्टमेन्ट स्टोरमा धेरै महँगो वस्तुहरू छन्।,ネパール語,N3
141,現金,げんきん,नगद,केस,नगद,नागद,नागद,"買い物,いつも現金で払う.","किनमेल गर्दा, सधैं नगद मा तिर्नुहोस्।",ネパール語,N3
142,合計,ごうけい,कुल रकम,कुल,आश्चर्यजनक,रकम,कुल,"先月のカードの支払いは,合計10万円になった.","गत महिनाको कार्ड भुक्तान कुल 100,000 येन थियो।",ネパール語,N3
143,代金,だいきん,मूल्य,राजकुमारी,मूल्य,सुन्दर,मूल्य,"品物は代金を払って,３日以内に届く.",वस्तु भुक्तानी गरेपछि 3 दिन भित्र डेलिभर गरिनेछ।,ネパール語,N3
144,建つ,たつ,निर्माण गर्नु,ब्री,जलाउनुहोस्,निर्माण गर्नु,निर्माण गर्नु,"川の近くに,高層マンションがたった.",नदीको छेउमा अग्लो अपार्टमेन्ट भवनहरू छन्।,ネパール語,N3
145,水族館,すいぞくかん,एक्वैरियम,शैक्षिक,एक्वैरियम,वास्तवमा,एक्वैरियम,水族館はいつも子供でいっぱいだ.,एक्वैरियमहरू सधैं बच्चाहरूले भरिएका हुन्छन्।,ネパール語,N3
146,博物館,はくぶつかん,संग्रहालय,गर्नुपर्छ,संग्रहालय,संगीत,संग्रहालय,"週末,博物館はとても込んでいる.",संग्रहालय सप्ताहन्तमा धेरै भीड छ।,ネパール語,N3
147,使用料,しようりょう,उपयोग शुल्क,महसुस गर्नुहोस्,पछिल्लो दिन,उपयोग शुल्क,उपयोग शुल्क,"このボルトのしようりょうは,3時間1万円だ.","यो बोल्ट सेवा 3 घण्टाको लागि 10,000 येन खर्च हुन्छ।",ネパール語,N3
148,休館日,きゅうかんひ,छुट्टी,होल्ड गर्नुहोस्,छुट्टी,भयानक,छुट्टी,この博物館の休館日は月曜日だ.,यो संग्रहालय सोमबार बन्द छ।,ネパール語,N3
149,期間,きかん,अवधि,मानिसहरू,उत्तम,अवधि,अवधि,"テスト期間なので,毎日遅くまで勉強している.",परिक्षाको समय भएकाले हरेक दिन ढिलोसम्म पढ्छु ।,ネパール語,N3
150,項目,こうもく,वस्तु,इटाली,वस्तु,बेवास्ता गर्नुहोस्,वस्तु,資料を項目に分けて整理する.,खण्डहरूमा सामग्रीहरू व्यवस्थित गर्नुहोस्।,ネパール語,N3
151,内緒,ないしょ,गोप्य,कोही,गोप्य,लोकप्रिय,गोप्य,この話は、絶対に内緒にしてね。,कृपया यो कथा आफैमा राख्नुहोस्।,ネパール語,N3
152,恋愛,れんあい,माया,माया,लाइक,मन नपराउने,माया,今は恋愛より、いい友達がほしい。,म अहिले माया भन्दा राम्रो साथी चाहन्छु।,ネパール語,N3
153,無視,むし,बेवास्ता गर्नुहोस्,उपस्थित हुनुहोस्,बेवास्ता गर्नुहोस्,दूरी,बेवास्ता गर्नुहोस्,知り合いに話しかけたのに、無視された。,मैले चिनेका मान्छेसँग कुरा गरेँ तर उसले बेवास्ता गरिन ।,ネパール語,N3
154,名字,みょうじ,उपनाम,नाम,उमेर,उपनाम,उपनाम,彼の名字は、とても珍しい。,उनको अन्तिम नाम धेरै दुर्लभ छ।,ネパール語,N3
155,深夜,しんや,अबेर राती,अबेर राती,साँझ,दिउँसो,अबेर राती,深夜になると、おおきなこえが聞こえる。,राति अबेरसम्म चर्को आवाज सुन्न सकिन्छ।,ネパール語,N3
156,湿気,しっけ,आर्द्रता,आँधी,पूर्वानुमान,आर्द्रता,आर्द्रता,日本の夏は湿気が多い。,जापानमा गर्मी आर्द्र हुन्छ।,ネパール語,N3
157,政治家,せいじか,राजनीतिज्ञ,राजनीतिक,राजनीति,राजनीतिज्ञ,राजनीतिज्ञ,政治家のインタビュー記事を読む。,राजनीतिज्ञहरूसँगको अन्तर्वार्ता पढ्नुहोस्।,ネパール語,N3
158,政府,せいふ,सरकार,निजी,सरकार,नागरिक,सरकार,政府から大切な発表があった。,सरकारको तर्फबाट महत्वपूर्ण घोषणा भएको छ ।,ネパール語,N3
159,逮捕,たいほ,गिरफ्तार,समात्नुहोस्,समात्नु पर्ने,गिरफ्तार,गिरफ्तार,犯人が逮捕されて、市民はあんしんした。,"अपराधी पक्राउ परे, नागरिकले राहत पाए ।",ネパール語,N3
160,疑問,ぎもん,प्रश्न,जवाफ,उद्देश्य,प्रश्न,प्रश्न,この事故には、いくつかの疑問がある。,यो दुर्घटनाले धेरै प्रश्न खडा गरेको छ ।,ネパール語,N3
